Epoch	AUC	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
35	0.7249793257303306	0.18994923955483825	0.9392352016762703	0.5040314825855338	0.5	0.008620689655172414	0.014920061566384035	0.008620689655172414
37	0.725508	0.189360	0.939759	0.504310	1.000000	0.008621	0.016072	0.008621
36	0.725508202396292	0.18936036079968838	0.9397590361445783	0.5043103448275862	1.0	0.008620689655172414	0.016071996808906364	0.008620689655172414
38	0.721820	0.188096	0.939759	0.512373	0.600000	0.025862	0.044790	0.025862
39	0.731398	0.198540	0.940283	0.508621	1.000000	0.017241	0.031904	0.017241
38	0.7313979652672269	0.19853980638301288	0.9402828706128863	0.5086206896551724	1.0	0.017241379310344827	0.031904198435929065	0.017241379310344827
40	0.734177	0.196611	0.939235	0.508063	0.500000	0.017241	0.029401	0.017241
39	0.7341769717483699	0.19661086316071136	0.9392352016762703	0.5080629651710675	0.5	0.017241379310344827	0.029401451663802924	0.017241379310344827
41	0.731090	0.196826	0.939759	0.512373	0.600000	0.025862	0.044790	0.025862
42	0.724753	0.193528	0.939759	0.516405	0.571429	0.034483	0.058529	0.034483
43	0.740838	0.209248	0.939759	0.512373	0.600000	0.025862	0.044790	0.025862
42	0.7408384137546397	0.20924824723659932	0.9397590361445783	0.5123733099986538	0.6	0.02586206896551724	0.04478982199809434	0.02586206896551724
44	0.737302	0.206286	0.939235	0.516126	0.500000	0.034483	0.057123	0.034483
45	0.739971	0.206307	0.940283	0.512652	0.750000	0.025862	0.046136	0.025862
46	0.737307	0.204554	0.939235	0.520157	0.500000	0.043103	0.070399	0.043103
47	0.741514	0.208381	0.938711	0.515847	0.444444	0.034483	0.055738	0.034483
46	0.7415139334961632	0.20838113165087477	0.9387113672079623	0.5158470681000827	0.4444444444444444	0.034482758620689655	0.055737580167162015	0.034482758620689655
48	0.744004	0.208319	0.938711	0.515847	0.444444	0.034483	0.055738	0.034483
47	0.744004461795873	0.2083192469891248	0.9387113672079623	0.5158470681000827	0.4444444444444444	0.034482758620689655	0.055737580167162015	0.034482758620689655
49	0.744404	0.213701	0.938711	0.515847	0.444444	0.034483	0.055738	0.034483
48	0.7444035232801893	0.21370063915357476	0.9387113672079623	0.5158470681000827	0.4444444444444444	0.034482758620689655	0.055737580167162015	0.034482758620689655
50	0.746312	0.208031	0.938188	0.523631	0.428571	0.051724	0.080270	0.051724
49	0.7463122872473412	0.20803138370048352	0.9381875327396543	0.5236311710290978	0.42857142857142855	0.05172413793103448	0.08027045345048633	0.05172413793103448
51	0.743687	0.215482	0.939759	0.520436	0.555556	0.043103	0.071879	0.043103
52	0.745336	0.211782	0.937664	0.515289	0.363636	0.034483	0.053024	0.034483
53	0.745413	0.220826	0.939235	0.516126	0.500000	0.034483	0.057123	0.034483
54	0.748558	0.217356	0.938711	0.519879	0.454545	0.043103	0.068940	0.043103
53	0.7485576090928322	0.21735629021934363	0.9387113672079623	0.5198785506856165	0.45454545454545453	0.04310344827586207	0.06893964342138714	0.04310344827586207
55	0.746322	0.214274	0.938711	0.519879	0.454545	0.043103	0.068940	0.043103
56	0.748322	0.224452	0.939759	0.528499	0.538462	0.060345	0.097474	0.060345
57	0.744543	0.204638	0.938711	0.527942	0.466667	0.060345	0.094266	0.060345
58	0.746668	0.221187	0.938711	0.519879	0.454545	0.043103	0.068940	0.043103
59	0.743629	0.214160	0.939235	0.528220	0.500000	0.060345	0.095859	0.060345
60	0.749106	0.215591	0.939235	0.532252	0.500000	0.068966	0.108073	0.068966
59	0.7491057176375558	0.21559146033591564	0.9392352016762703	0.5322518606842702	0.5	0.06896551724137931	0.10807327329262595	0.06896551724137931
61	0.750500	0.226302	0.939759	0.536562	0.529412	0.077586	0.121695	0.077586
60	0.7505000288478181	0.22630229987322603	0.9397590361445783	0.5365622055118565	0.5294117647058824	0.07758620689655173	0.12169487863718376	0.07758620689655173
62	0.746130	0.215787	0.938711	0.536004	0.473684	0.077586	0.118252	0.077586
63	0.751356	0.225927	0.938188	0.531694	0.444444	0.068966	0.104789	0.068966
62	0.7513558474527376	0.22592680979269014	0.9381875327396543	0.5316941362001654	0.4444444444444444	0.06896551724137931	0.10478877717283308	0.06896551724137931
64	0.750899	0.219703	0.938188	0.531694	0.444444	0.068966	0.104789	0.068966
65	0.751692	0.217888	0.938711	0.536004	0.473684	0.077586	0.118252	0.077586
64	0.7516924053310767	0.21788795244908318	0.9387113672079623	0.5360044810277517	0.47368421052631576	0.07758620689655173	0.11825176564406037	0.07758620689655173
66	0.752418	0.224087	0.938188	0.531694	0.444444	0.068966	0.104789	0.068966
65	0.7524184087543511	0.2240867846068202	0.9381875327396543	0.5316941362001654	0.4444444444444444	0.06896551724137931	0.10478877717283308	0.06896551724137931
67	0.747764	0.224330	0.937664	0.531415	0.421053	0.068966	0.103179	0.068966
68	0.747620	0.226880	0.939235	0.540315	0.500000	0.086207	0.131538	0.086207
69	0.755169	0.225296	0.939235	0.536283	0.500000	0.077586	0.119962	0.077586
68	0.7551685674173509	0.22529581551588312	0.9392352016762703	0.5362833432698041	0.5	0.07758620689655173	0.11996184874617488	0.07758620689655173
70	0.753029	0.227832	0.938711	0.540036	0.476190	0.086207	0.129774	0.086207
71	0.753837	0.221208	0.938188	0.531694	0.444444	0.068966	0.104789	0.068966
72	0.755197	0.223398	0.938711	0.544067	0.478261	0.094828	0.141000	0.094828
71	0.7551974152354943	0.2233981242738818	0.9387113672079623	0.5440674461988192	0.4782608695652174	0.09482758620689655	0.14099955771782402	0.09482758620689655
73	0.755082	0.225901	0.937664	0.535447	0.428571	0.077586	0.114899	0.077586
74	0.752111	0.227450	0.939235	0.544346	0.500000	0.094828	0.142813	0.094828
75	0.755366	0.230150	0.938711	0.536004	0.473684	0.077586	0.118252	0.077586
74	0.7553656941746639	0.230149658757838	0.9387113672079623	0.5360044810277517	0.47368421052631576	0.07758620689655173	0.11825176564406037	0.07758620689655173
76	0.754789	0.233113	0.938711	0.540036	0.476190	0.086207	0.129774	0.086207
77	0.755625	0.234569	0.938711	0.544067	0.478261	0.094828	0.141000	0.094828
76	0.7556253245379542	0.2345685341275818	0.9387113672079623	0.5440674461988192	0.4782608695652174	0.09482758620689655	0.14099955771782402	0.09482758620689655
78	0.754346	0.231830	0.938188	0.535726	0.450000	0.077586	0.116564	0.077586
79	0.755693	0.234189	0.938188	0.539757	0.454545	0.086207	0.128034	0.086207
78	0.7556926361136218	0.23418863807628507	0.9381875327396543	0.539757101371233	0.45454545454545453	0.08620689655172414	0.128033816163321	0.08620689655172414
80	0.758193	0.244326	0.938188	0.539757	0.454545	0.086207	0.128034	0.086207
79	0.7581927803527126	0.2443259105183714	0.9381875327396543	0.539757101371233	0.45454545454545453	0.08620689655172414	0.128033816163321	0.08620689655172414
81	0.756438	0.234677	0.938711	0.544067	0.478261	0.094828	0.141000	0.094828
82	0.758669	0.237203	0.938188	0.539757	0.454545	0.086207	0.128034	0.086207
81	0.758668769352078	0.2372029043202897	0.9381875327396543	0.539757101371233	0.45454545454545453	0.08620689655172414	0.128033816163321	0.08620689655172414
83	0.754967	0.236925	0.937140	0.543231	0.423077	0.094828	0.135697	0.094828
84	0.756621	0.246574	0.939235	0.544346	0.500000	0.094828	0.142813	0.094828
85	0.760097	0.245883	0.936092	0.542673	0.392857	0.094828	0.132273	0.094828
84	0.760096736350174	0.24588300197860175	0.9360921948664223	0.5426731349885571	0.39285714285714285	0.09482758620689655	0.1322727272727272	0.09482758620689655
86	0.755414	0.238907	0.937140	0.559357	0.441176	0.129310	0.177338	0.129310
87	0.757289	0.243801	0.937140	0.547262	0.428571	0.103448	0.146498	0.103448
88	0.756327	0.250289	0.938188	0.543789	0.458333	0.094828	0.139209	0.094828
89	0.755303	0.238296	0.937664	0.559636	0.454545	0.129310	0.179251	0.129310
90	0.754890	0.243780	0.936616	0.542952	0.407407	0.094828	0.133974	0.094828
91	0.753861	0.249584	0.936092	0.550736	0.406250	0.112069	0.153431	0.112069
92	0.759236	0.253598	0.935045	0.542115	0.366667	0.094828	0.128933	0.094828
93	0.760717	0.257965	0.938711	0.568256	0.485714	0.146552	0.202707	0.146552
92	0.7607169644402562	0.25796470090194723	0.9387113672079623	0.5682563417120218	0.4857142857142857	0.14655172413793102	0.20270651355220082	0.14655172413793102
94	0.758986	0.249712	0.937140	0.559357	0.441176	0.129310	0.177338	0.129310
95	0.763323	0.251766	0.937664	0.563667	0.457143	0.137931	0.189078	0.137931
94	0.7633228840125392	0.25176648190032774	0.9376636982713462	0.5636671346423832	0.45714285714285713	0.13793103448275862	0.18907756506591367	0.13793103448275862
96	0.758236	0.265926	0.937664	0.567699	0.459459	0.146552	0.198672	0.146552
97	0.761164	0.266047	0.939235	0.568535	0.500000	0.146552	0.204760	0.146552
98	0.761001	0.261322	0.936616	0.579235	0.444444	0.172414	0.222021	0.172414
99	0.762308	0.264265	0.938188	0.592166	0.479167	0.198276	0.253951	0.198276
100	0.762150	0.260363	0.938188	0.580072	0.476190	0.172414	0.228232	0.172414
101	0.765895	0.268640	0.935568	0.578678	0.425532	0.172414	0.217996	0.172414
100	0.7658951477969883	0.26864019807439604	0.9355683603981142	0.5786776160163086	0.425531914893617	0.1724137931034483	0.21799555722816333	0.1724137931034483
102	0.762217	0.273709	0.938188	0.584103	0.477273	0.181034	0.237000	0.181034
103	0.760707	0.253649	0.933473	0.573531	0.387755	0.163793	0.201484	0.163793
104	0.760289	0.257047	0.936092	0.566862	0.425000	0.146552	0.192795	0.146552
105	0.761621	0.252643	0.931902	0.580757	0.375000	0.181034	0.213048	0.181034
106	0.759111	0.257909	0.936092	0.582988	0.437500	0.181034	0.228661	0.181034
107	0.767756	0.269204	0.936616	0.591330	0.450980	0.198276	0.247522	0.198276
106	0.7677558320672347	0.26920381761839435	0.9366160293347302	0.5913297882570148	0.45098039215686275	0.19827586206896552	0.24752175286916356	0.19827586206896552
108	0.765544	0.269618	0.932949	0.581315	0.388889	0.181034	0.216826	0.181034
109	0.760871	0.258071	0.931902	0.592852	0.387097	0.206897	0.237381	0.206897
110	0.769323	0.281002	0.931378	0.600636	0.388060	0.224138	0.250819	0.224138
109	0.769323230186357	0.2810024398343492	0.93137768465165	0.6006356135930919	0.3880597014925373	0.22413793103448276	0.25081859659739425	0.22413793103448276
111	0.763602	0.259983	0.931378	0.580478	0.368421	0.181034	0.211189	0.181034
112	0.766549	0.263373	0.933473	0.585625	0.400000	0.189655	0.227098	0.189655
113	0.770929	0.271975	0.937664	0.591888	0.469388	0.198276	0.251784	0.198276
112	0.7709290920630036	0.271974820695512	0.9376636982713462	0.5918875127411196	0.46938775510204084	0.19827586206896552	0.25178432037731746	0.19827586206896552
114	0.766862	0.275880	0.933997	0.602030	0.419355	0.224138	0.260846	0.224138
115	0.770193	0.276953	0.935045	0.594525	0.428571	0.206897	0.249369	0.206897
116	0.770564	0.264893	0.932425	0.605225	0.402985	0.232759	0.262256	0.232759
117	0.772333	0.277692	0.936092	0.591051	0.442308	0.198276	0.245425	0.198276
116	0.772333019212647	0.2776918379986065	0.9360921948664223	0.5910509260149623	0.4423076923076923	0.19827586206896552	0.2454252092999144	0.19827586206896552
118	0.765631	0.275412	0.933473	0.605783	0.415385	0.232759	0.266322	0.232759
119	0.763357	0.275873	0.937140	0.607735	0.465517	0.232759	0.281227	0.232759
120	0.767472	0.292719	0.933997	0.606061	0.421875	0.232759	0.268387	0.232759
121	0.768265	0.294401	0.940807	0.601624	0.531915	0.215517	0.281573	0.215517
122	0.771987	0.285042	0.933473	0.585625	0.400000	0.189655	0.227098	0.189655
123	0.772679	0.294027	0.936092	0.591051	0.442308	0.198276	0.245425	0.198276
122	0.7726791930303671	0.29402674459394884	0.9360921948664223	0.5910509260149623	0.4423076923076923	0.19827586206896552	0.2454252092999144	0.19827586206896552
124	0.770083	0.297387	0.933473	0.593688	0.406780	0.206897	0.243281	0.206897
