Epoch	AUC	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.549847	0.073141	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
0	0.5498470948012233	0.07314144913763981	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
2	0.529704	0.061197	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
3	0.510991	0.064050	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
4	0.525645	0.065217	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
5	0.499832	0.081276	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
6	0.537357	0.094482	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
7	0.578876	0.113476	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
6	0.5788761467889909	0.1134755014121143	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
8	0.583328	0.116515	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
7	0.5833282364933741	0.1165147052658846	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
9	0.607350	0.130741	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
8	0.6073496432212029	0.130741390488574	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
10	0.608746	0.140568	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
9	0.6087461773700305	0.1405679080928373	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
11	0.617324	0.130659	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
10	0.6173241590214067	0.1306585354622163	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
12	0.633078	0.120555	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
11	0.6330784913353721	0.12055474507145479	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
13	0.638925	0.108993	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
12	0.6389245667686034	0.10899282468741774	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
14	0.662513	0.128886	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
13	0.662512742099898	0.12888636160549094	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
15	0.663262	0.131739	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
14	0.6632619775739043	0.13173920085503843	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
16	0.673448	0.131733	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
15	0.6734480122324158	0.13173288929196356	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
17	0.680729	0.135713	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
16	0.6807288481141691	0.13571329549288763	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
18	0.688104	0.146537	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
17	0.6881039755351683	0.1465369521351988	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
19	0.695581	0.152105	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
18	0.6955810397553518	0.15210530389943647	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
20	0.696825	0.147784	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
19	0.6968246687054028	0.1477841046889865	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
21	0.710581	0.152884	0.942902	0.500000	0.000000	0.000000	0.000000	0.000000
20	0.7105810397553517	0.15288384414677442	0.9429020429544264	0.5	0.0	0.0	0.0	0.0
