Epoch	AUC	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.500300	0.070043	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
0	0.5003004807692308	0.07004306575292708	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
2	0.513333	0.062984	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
1	0.513333237942613	0.06298435522286108	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
3	0.572180	0.072451	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
2	0.5721797733516483	0.07245076445109595	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
4	0.567153	0.078832	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
5	0.582604	0.075503	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
4	0.5826035943223444	0.07550324569690481	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
6	0.579670	0.080709	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
7	0.539640	0.067685	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
8	0.568972	0.082985	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
9	0.611402	0.095621	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
8	0.6114020528083028	0.0956210962683683	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
10	0.588904	0.097005	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
11	0.594303	0.104375	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
12	0.607548	0.105578	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
13	0.626903	0.112104	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
12	0.6269030448717948	0.11210406137394516	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
14	0.630170	0.117638	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
13	0.630170177045177	0.1176378462732306	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
15	0.641173	0.128048	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
14	0.6411734966422467	0.12804815363503255	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
16	0.636518	0.129881	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
17	0.654070	0.139282	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
16	0.654070322039072	0.13928209984438894	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
18	0.658086	0.144520	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
17	0.6580862713675214	0.14451961596977037	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
19	0.679001	0.143885	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
18	0.6790006868131867	0.14388479573275623	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
20	0.681405	0.144894	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
19	0.6814045329670331	0.14489350219270222	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
21	0.695002	0.144965	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
20	0.6950024801587301	0.14496540742639447	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
22	0.698608	0.142447	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
21	0.6986082493894994	0.14244740545201903	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
23	0.701236	0.136021	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
22	0.7012362637362638	0.13602071745518882	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
24	0.707542	0.133140	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
23	0.7075415903540905	0.1331404236748538	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
25	0.708443	0.135418	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
24	0.7084430326617825	0.1354177259857443	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
26	0.711176	0.147850	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
25	0.7111759768009769	0.14785049449200968	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
27	0.712011	0.144699	0.939235	0.504274	1.000000	0.008547	0.015927	0.008547
26	0.7120106456043955	0.14469919272939735	0.9392352016762703	0.5042735042735043	1.0	0.008547008547008548	0.015926906873811153	0.008547008547008548
28	0.718345	0.151777	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
27	0.7183445894383396	0.15177727358643936	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
29	0.730373	0.163849	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
28	0.7303733592796092	0.1638493961815624	0.9387113672079623	0.5	0.0	0.0	0.0	0.0
30	0.727807	0.166122	0.939235	0.504274	1.000000	0.008547	0.015927	0.008547
31	0.728785	0.168943	0.938711	0.500000	0.000000	0.000000	0.000000	0.000000
32	0.734876	0.167488	0.939759	0.508547	1.000000	0.017094	0.031618	0.017094
31	0.7348758012820512	0.1674884537888003	0.9397590361445783	0.5085470085470085	1.0	0.017094017094017096	0.03161846115843203	0.017094017094017096
33	0.735911	0.173932	0.939759	0.508547	1.000000	0.017094	0.031618	0.017094
32	0.7359107905982905	0.17393231670463982	0.9397590361445783	0.5085470085470085	1.0	0.017094017094017096	0.03161846115843203	0.017094017094017096
34	0.738434	0.176135	0.939235	0.504274	1.000000	0.008547	0.015927	0.008547
33	0.7384338751526249	0.17613486090355343	0.9392352016762703	0.5042735042735043	1.0	0.008547008547008548	0.015926906873811153	0.008547008547008548
35	0.738868	0.179106	0.939235	0.504274	1.000000	0.008547	0.015927	0.008547
34	0.7388679029304028	0.17910589240084604	0.9392352016762703	0.5042735042735043	1.0	0.008547008547008548	0.015926906873811153	0.008547008547008548
36	0.745712	0.181974	0.939235	0.504274	1.000000	0.008547	0.015927	0.008547
35	0.745712187118437	0.18197410318779353	0.9392352016762703	0.5042735042735043	1.0	0.008547008547008548	0.015926906873811153	0.008547008547008548
