Epoch	AUC	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
1	0.512150	0.056257	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
0	0.512150063947705	0.056256854423678546	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
2	0.549554	0.053544	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
1	0.5495535502818436	0.05354440091995093	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
3	0.454192	0.043754	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
4	0.450008	0.046705	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
5	0.467603	0.049489	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
6	0.475771	0.047838	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
7	0.572563	0.080154	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
6	0.5725628819099048	0.08015433799417984	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
8	0.553870	0.073523	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
9	0.549944	0.078854	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
10	0.593731	0.073426	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
9	0.5937307564776656	0.07342561641223837	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
11	0.587081	0.074535	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
12	0.621305	0.085264	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
11	0.6213052437118091	0.08526393393473616	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
13	0.655251	0.097100	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
12	0.6552508171095638	0.09710021012950898	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
14	0.645700	0.095750	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
15	0.650526	0.096781	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
16	0.645591	0.098050	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
17	0.653791	0.100580	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
18	0.674696	0.107105	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
17	0.6746956562929278	0.10710539008169084	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
19	0.675892	0.106579	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
18	0.6758917152195538	0.10657906932000194	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
20	0.684146	0.108870	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
19	0.6841457060300317	0.10887046449924183	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
21	0.687598	0.112075	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
20	0.6875976978826203	0.11207457964487387	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
22	0.687148	0.111000	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
23	0.695668	0.109342	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
22	0.6956681350954479	0.10934219465109288	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
24	0.697391	0.110095	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
23	0.6973911704798446	0.11009458493405862	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
25	0.702945	0.112947	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
24	0.7029451470797216	0.11294740140246344	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
26	0.699831	0.112476	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
27	0.697622	0.109588	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
28	0.702329	0.111905	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
29	0.709405	0.111659	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
28	0.7094050495002605	0.11165858045747667	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
30	0.704354	0.112848	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
31	0.701731	0.114568	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
32	0.710725	0.116255	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
31	0.7107254511865851	0.11625509378668611	0.9512833944473547	0.5	0.0	0.0	0.0	0.0
33	0.705414	0.116567	0.951283	0.500000	0.000000	0.000000	0.000000	0.000000
34	0.708546	0.115851	0.951283	0.505101	0.500000	0.010753	0.019040	0.010753
35	0.716297	0.118147	0.950760	0.504826	0.333333	0.010753	0.017843	0.010753
34	0.7162971910378476	0.11814721114415826	0.9507595599790466	0.50482568329307	0.3333333333333333	0.010752688172043012	0.01784287324992062	0.010752688172043012
36	0.717286	0.120254	0.951283	0.505101	0.500000	0.010753	0.019040	0.010753
35	0.7172860120316422	0.12025375080855723	0.9512833944473547	0.5051010136895457	0.5	0.010752688172043012	0.01904046236386825	0.010752688172043012
37	0.716960	0.120275	0.950236	0.504550	0.250000	0.010753	0.016668	0.010753
38	0.721863	0.122385	0.949712	0.504275	0.200000	0.010753	0.015514	0.010753
37	0.7218630098053147	0.12238541882144884	0.9497118910424306	0.5042750225001185	0.2	0.010752688172043012	0.015514203446645891	0.010752688172043012
